Nahráno na Disk GS,Název souboru v databázi,ID písně,Název písně,v archivu,downloaded
,k189-duchu-svaty-prijd.jpg,489,"Duchu Svatý, přijď",not available,false
,k56-otevrme-pismo.jpg,534,Otevřme písmo,not available,false
,k78-effatha.jpg,535,Effatha,not available,false
,k48-on-je-pan.jpg,537,On je Pán,not available,false
,Noty,548,Když Egypt je nám v patách,http://web.archive.org/web/20240610231527/https://zpevnik.proscholy.cz/soubor/Noty,true
,k192-kvuli-tobe-pane-muj.jpg,555,"Kvůli Tobě, Pane můj",not available,false
,k136-my-jsme-zde.jpg,563,My jsme zde,not available,false
,201.pdf,568,Narodil se Kristus Pán,http://web.archive.org/web/20250806130623/https://zpevnik.proscholy.cz/soubor/201.pdf,true
,43.pdf,568,Narodil se Kristus Pán,http://web.archive.org/web/20250805175120/https://zpevnik.proscholy.cz/soubor/43.pdf,true
,222.pdf,574,Nesem vám noviny,http://web.archive.org/web/20241215012320/https://zpevnik.proscholy.cz/soubor/222.pdf,true
,16.pdf,582,Připravujte cestu,not available,false
,k1-prijd-duchu-svaty.jpg,605,"Přijď, Duchu Svatý",not available,false
,k209-s-nami-je-buh.jpg,619,S námi je Bůh,not available,false
,k150-stvor-ve-mne-srdce-ciste.jpg,630,Stvoř ve mně srdce čisté,not available,false
,224.pdf,642,Tichá noc,http://web.archive.org/web/20250527185459/https://zpevnik.proscholy.cz/soubor/224.pdf,true
,k198-touzim-po-tobe-touzim.jpg,645,Toužím,not available,false
,EvK706.pdf,663,"Úžasný Bůh, vesmíru vládce",not available,false
,k87-vyvysuju-tebe-pane.jpg,679,"Vyvyšuju Tebe, Pane",not available,false
,k223-vzyvam-tvoje-svate-jmeno.jpg,683,Vzývám Tvoje svaté jméno,not available,false
,k206-pojdte-ke-mne-vsichni.jpg,696,Pojďte ke mně všichni,not available,false
,k185-pozehnany.jpg,697,Požehnaný,not available,false
,k13a-pozehnany-jsi-boze.jpg,698,"Požehnaný jsi, Bože",not available,false
,znovu.pdf,700,Znovu,not available,false
,k41-prijd-pane-do-nasich-srdci.jpg,707,"Přijď, Pane, do našich srdcí",not available,false
,k14-slava-panu-jezisi.jpg,713,Sláva Pánu Ježíši,not available,false
,k178-spaso-ma.jpg,714,Spáso má,not available,false
,resucito-1.2.1.pdf,729,Resucito,not available,false
,k84-ty-sam.jpg,739,Ty sám,not available,false
,k10-vse-co-mohu-dat.jpg,749,"Vše, co mohu dát",not available,false
