song_lyric_id,licence
5044,1
4534,2
4535,1
4536,2
4537,1
4538,1
5031,1
4539,1
4540,1
4541,1
4542,0
4543,0
4544,1
4545,1
4546,1
4547,1
4548,1
4549,1
4550,1
4551,1
27,1
4552,1
5045,1
5046,1
4553,1
4554,0
4555,1
4556,1
4557,1
4558,1
4559,0
3558,1
1656,1
4560,0
4561,1
4562,1
4563,0
4564,1
4565,1
4566,1
4567,1
4568,2
4569,1
4570,1
4571,1
4572,1
4573,1
4574,1
4575,0
2906,1
4576,1
4577,1
1789,1
5019,1
4578,1
4579,1
4580,1
4581,1
4582,1
4583,0
4584,0
4585,0
4586,1
4587,1
4588,1
4589,2
4590,1
4591,1
4592,2
4593,1
4594,1
4595,1
4596,0
4597,1
854,1
582,1
4598,1
82,1
4599,0
4600,1
4601,1
4602,0
4603,1
4604,0
4605,0
4606,1
4607,1
4608,2
4609,1
4610,1
4611,1
4612,1
4613,2
4614,1
4615,1
1534,1
4616,1
4617,1
4618,1
4619,1
5020,1
4620,1
604,0
4621,1
1688,1
4622,1
5021,2
1771,1
4623,0
4624,0
5022,1
4625,1
4626,1
4627,1
4628,1
1557,1
4629,1
5023,1
568,1
4630,1
4631,1
4632,1
4633,1
4634,1
4635,2
4636,1
3520,1
5024,1
5025,1
4637,1
4638,1
3518,1
3770,1
635,1
4639,1
4640,1
4641,1
4642,1
642,1
4643,1
2815,0
4644,1
4645,0
4646,0
4647,1
4648,1
1583,1
542,1
4649,1
4650,1
4651,1
4652,1
4653,1
4654,1
4655,1
4656,1
4657,1
4658,1
4659,1
4660,1
4661,1
4662,1
4663,1
4664,1
5026,1
4665,1
4666,1
4667,1
4668,1
4669,1
4670,1
4671,1
4672,1
4673,1
4674,2
4675,1
4676,1
4677,1
4678,1
4679,1
4680,1
4681,1
1124,1
4682,1
4683,1
1170,1
4684,1
5027,1
4685,1
4686,1
4687,1
4688,1
4689,1
4690,1
4691,1
4692,1
4693,1
4694,1
4695,1
4696,0
4697,1
1619,1
4698,1
4699,1
4700,1
4701,2
5028,1
4702,1
1221,0
4703,0
717,0
4704,1
4705,1
4706,1
957,1
4707,1
4709,1
4710,0
4711,2
4712,1
4713,1
4714,1
4715,1
4716,1
1778,1
4717,1
4718,1
4719,1
4720,2
4721,2
4722,1
4723,1
4724,1
4725,1
4915,1
4726,1
1000,0
2928,0
4727,0
391,1
4728,1
4729,1
4730,1
4731,1
4732,1
4733,1
4734,1
4735,2
4736,1
4738,1
4739,1
4740,1
4741,1
4742,1
4743,1
4744,1
4745,1
4746,1
5029,1
4747,1
4748,1
4749,1
4750,1
4751,1
4752,1
4753,1
4754,1
4755,0
4756,1
1243,1
4757,1
4758,1
4759,1
4760,1
1329,1
4761,1
4762,1
4763,1
4764,1
4765,1
4766,1
4767,1
4768,1
4769,1
4770,1
4771,1
4772,1
4773,1
4774,1
4775,0
4776,1
4135,1
4777,0
4778,1
1252,0
4779,1
4780,1
3346,1
4781,2
2749,1
4782,0
4783,1
4784,1
4785,2
2179,1
4786,1
4787,1
4788,1
4789,1
4790,1
4791,1
4792,2
4794,1
4795,1
4796,1
4797,1
4798,1
4799,1
4800,0
4801,0
4802,0
959,1
4803,1
4804,1
4805,1
4806,1
4807,1
4808,0
4809,1
4810,0
4811,1
4812,1
4813,1
2214,0
1790,1
4816,0
4817,1
4818,1
4916,1
4819,1
4820,0
4821,1
4822,1
4823,0
4824,1
662,0
4825,0
4826,1
3866,1
4827,1
4828,1
4829,1
4830,1
4832,1
4833,1
4834,1
